"자치구(1)","시점",지역내총생산(시장가격)
"자치구(1)","시점",당해년가격
"종로구","2015",29331069
"종로구","2016",30190706
"종로구","2017",31416328
"종로구","2018",31868698
"종로구","2019",33780610
"중구","2015",49949249
"중구","2016",52623501
"중구","2017",51213292
"중구","2018",54274488
"중구","2019",53823217
"용산구","2015",10023473
"용산구","2016",10457073
"용산구","2017",11737945
"용산구","2018",12300317
"용산구","2019",12695516
"성동구","2015",10231864
"성동구","2016",10662221
"성동구","2017",10735112
"성동구","2018",11657151
"성동구","2019",12167850
"광진구","2015",5696485
"광진구","2016",6097219
"광진구","2017",6131450
"광진구","2018",6342279
"광진구","2019",6587069
"동대문구","2015",6589147
"동대문구","2016",7185192
"동대문구","2017",7218027
"동대문구","2018",7328160
"동대문구","2019",7555543
"중랑구","2015",3856334
"중랑구","2016",4120148
"중랑구","2017",4283062
"중랑구","2018",4452719
"중랑구","2019",4741739
"성북구","2015",5407042
"성북구","2016",5750131
"성북구","2017",5917636
"성북구","2018",6054811
"성북구","2019",6141921
"강북구","2015",2759140
"강북구","2016",2952798
"강북구","2017",3057496
"강북구","2018",3207289
"강북구","2019",3283572
"도봉구","2015",2906723
"도봉구","2016",3116564
"도봉구","2017",3325320
"도봉구","2018",3352742
"도봉구","2019",3404872
"노원구","2015",5606176
"노원구","2016",5901669
"노원구","2017",6239829
"노원구","2018",6387713
"노원구","2019",6620672
"은평구","2015",3866400
"은평구","2016",4298312
"은평구","2017",4514825
"은평구","2018",4754342
"은평구","2019",4919715
"서대문구","2015",7507777
"서대문구","2016",7837950
"서대문구","2017",8212568
"서대문구","2018",8363965
"서대문구","2019",8652191
"마포구","2015",17955655
"마포구","2016",18926362
"마포구","2017",18740095
"마포구","2018",19474677
"마포구","2019",19943128
"양천구","2015",6276755
"양천구","2016",6399102
"양천구","2017",6658836
"양천구","2018",6931171
"양천구","2019",7125314
"강서구","2015",10149098
"강서구","2016",11420676
"강서구","2017",16772058
"강서구","2018",17607271
"강서구","2019",17458926
"구로구","2015",12017187
"구로구","2016",12472027
"구로구","2017",13254659
"구로구","2018",13816661
"구로구","2019",14090156
"금천구","2015",14953994
"금천구","2016",15751878
"금천구","2017",16385145
"금천구","2018",17162843
"금천구","2019",17614623
"영등포구","2015",30173741
"영등포구","2016",30667943
"영등포구","2017",32055158
"영등포구","2018",34299880
"영등포구","2019",36095497
"동작구","2015",5521181
"동작구","2016",5965426
"동작구","2017",6254375
"동작구","2018",6362074
"동작구","2019",6527100
"관악구","2015",5597548
"관악구","2016",5623923
"관악구","2017",5755018
"관악구","2018",5836563
"관악구","2019",5963769
"서초구","2015",30390265
"서초구","2016",32366952
"서초구","2017",33772132
"서초구","2018",35277030
"서초구","2019",35570338
"강남구","2015",62295492
"강남구","2016",63866440
"강남구","2017",65387478
"강남구","2018",69186319
"강남구","2019",71852681
"송파구","2015",23586997
"송파구","2016",24812660
"송파구","2017",26815980
"송파구","2018",28617470
"송파구","2019",29962528
"강동구","2015",7519077
"강동구","2016",7897558
"강동구","2017",8225774
"강동구","2018",8825479
"강동구","2019",9348668
