"시군구별(1)","시점",지역내총생산(시장가격)
"시군구별(1)","시점",당해년가격
"전주시","2015",13251346
"전주시","2016",13886080
"전주시","2017",14587612
"전주시","2018",15300987
"전주시","2019",15790505
"군산시","2015",9554687
"군산시","2016",9399640
"군산시","2017",9150677
"군산시","2018",9098915
"군산시","2019",9218503
"익산시","2015",6990072
"익산시","2016",7039090
"익산시","2017",7413669
"익산시","2018",7618352
"익산시","2019",7881218
"정읍시","2015",2740334
"정읍시","2016",2787689
"정읍시","2017",2881171
"정읍시","2018",2867266
"정읍시","2019",3056405
"남원시","2015",1592415
"남원시","2016",1606591
"남원시","2017",1594437
"남원시","2018",1644180
"남원시","2019",1763497
"김제시","2015",2546005
"김제시","2016",2650473
"김제시","2017",2792260
"김제시","2018",2804379
"김제시","2019",2928412
"완주군","2015",4620807
"완주군","2016",4641344
"완주군","2017",4757818
"완주군","2018",4792392
"완주군","2019",4829382
"진안군","2015",550980
"진안군","2016",556477
"진안군","2017",594226
"진안군","2018",630425
"진안군","2019",626343
"무주군","2015",590453
"무주군","2016",618911
"무주군","2017",626209
"무주군","2018",573333
"무주군","2019",691337
"장수군","2015",534164
"장수군","2016",550863
"장수군","2017",603202
"장수군","2018",546368
"장수군","2019",526612
"임실군","2015",699738
"임실군","2016",697300
"임실군","2017",714144
"임실군","2018",782850
"임실군","2019",744969
"순창군","2015",712563
"순창군","2016",752790
"순창군","2017",736737
"순창군","2018",720399
"순창군","2019",761156
"고창군","2015",1328184
"고창군","2016",1409978
"고창군","2017",1481276
"고창군","2018",1752668
"고창군","2019",1697443
"부안군","2015",1306282
"부안군","2016",1281819
"부안군","2017",1415039
"부안군","2018",1462804
"부안군","2019",1481752
