시도별,2014,2015,2016,2017,2018,2019,2020,2021
서울,19832,20857,21295,22237,23323,23978,24226,25256
부산,16147,17044,17525,18189,18868,19723,20460,21352
대구,16031,17226,17848,18350,18555,19196,20229,21046
인천,15507,16598,17222,17884,18659,19582,20310,21317
광주,16225,17459,18232,18926,19868,20791,21591,22472
대전,16946,18229,18741,19314,19649,20648,21707,22730
울산,20142,21348,21422,21956,21655,22617,23863,25165
세종,22944,21957,21000,21404,20990,20674,21407,22061
경기,16969,18069,18611,19375,19907,20746,21220,21937
강원,15152,16311,16798,17484,18450,19174,20267,21038
충북,15558,16531,16915,17465,18440,18989,20029,21081
충남,15509,16703,16952,17788,18458,19216,20393,21262
전북,15548,16239,16499,17059,18141,18941,19991,20862
전남,15039,16067,16528,17043,18207,19072,19873,20881
경북,15738,16550,16894,17428,18185,18748,19798,20667
경남,16272,17411,17744,18011,18466,19078,19759,20650
제주,15329,16685,17366,17816,18456,18815,19954,20475
